race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260809_和歌山_8R,20260809,55,和歌山,8,3,013772,4,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,9,014018,5,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,8,014096,6,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,1,015458,7,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,2,015836,8,NORMAL,,6-4-7,125480,240
20260809_和歌山_8R,20260809,55,和歌山,8,5,015186,9,NORMAL,,6-4-7,125480,240
20260809_和歌山_9R,20260809,55,和歌山,9,6,015690,1,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,1,015006,2,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,3,015373,3,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,8,015696,4,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,4,015123,5,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,2,015050,6,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,5,015598,7,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,7,014682,8,NORMAL,,6-1-3,37220,138
20260809_和歌山_9R,20260809,55,和歌山,9,9,015629,9,NORMAL,,6-1-3,37220,138
20260809_和歌山_10R,20260809,55,和歌山,10,3,015096,1,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,7,015706,2,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,2,015541,3,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,8,014606,4,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,6,013118,5,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,1,012450,6,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,5,015129,7,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,4,014141,8,NORMAL,,3-7-2,11230,45
20260809_和歌山_10R,20260809,55,和歌山,10,9,015630,9,NORMAL,,3-7-2,11230,45
20260809_和歌山_11R,20260809,55,和歌山,11,6,130134,1,NORMAL,,6-4-2,340,1
20260809_和歌山_11R,20260809,55,和歌山,11,4,130135,2,NORMAL,,6-4-2,340,1
20260809_和歌山_11R,20260809,55,和歌山,11,2,130129,3,NORMAL,,6-4-2,340,1
20260809_和歌山_11R,20260809,55,和歌山,11,3,015220,4,NORMAL,,6-4-2,340,1
20260809_和歌山_11R,20260809,55,和歌山,11,5,015765,5,NORMAL,,6-4-2,340,1
20260809_和歌山_11R,20260809,55,和歌山,11,7,015863,6,NORMAL,,6-4-2,340,1
20260809_和歌山_11R,20260809,55,和歌山,11,1,016040,7,NORMAL,,6-4-2,340,1
20260809_和歌山_12R,20260809,55,和歌山,12,5,130127,1,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,9,015692,2,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,3,130132,3,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,1,015337,4,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,7,013900,5,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,4,014497,6,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,6,014427,7,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,8,014500,8,NORMAL,,5-9-3,60910,47
20260809_和歌山_12R,20260809,55,和歌山,12,2,013982,9,NORMAL,,5-9-3,60910,47
20260809_立川_1R,20260809,28,立川,1,3,015879,1,NORMAL,,3-1-7,840,2
20260809_立川_1R,20260809,28,立川,1,1,014749,2,NORMAL,,3-1-7,840,2
20260809_立川_1R,20260809,28,立川,1,7,013915,3,NORMAL,,3-1-7,840,2
20260809_立川_1R,20260809,28,立川,1,2,014403,4,NORMAL,,3-1-7,840,2
20260809_立川_1R,20260809,28,立川,1,5,013494,5,NORMAL,,3-1-7,840,2
20260809_立川_1R,20260809,28,立川,1,6,013587,6,NORMAL,,3-1-7,840,2
20260809_立川_1R,20260809,28,立川,1,4,013896,7,NORMAL,,3-1-7,840,2
20260809_立川_2R,20260809,28,立川,2,2,015798,1,NORMAL,,2-6-1,1650,1
20260809_立川_2R,20260809,28,立川,2,6,014075,2,NORMAL,,2-6-1,1650,1
20260809_立川_2R,20260809,28,立川,2,1,014845,3,NORMAL,,2-6-1,1650,1
20260809_立川_2R,20260809,28,立川,2,3,013469,4,NORMAL,,2-6-1,1650,1
20260809_立川_2R,20260809,28,立川,2,4,014410,5,NORMAL,,2-6-1,1650,1
20260809_立川_2R,20260809,28,立川,2,7,015287,6,NORMAL,,2-6-1,1650,1
20260809_立川_2R,20260809,28,立川,2,5,014303,7,NORMAL,,2-6-1,1650,1
20260809_立川_3R,20260809,28,立川,3,5,015902,1,NORMAL,,5-1-4,6190,23
20260809_立川_3R,20260809,28,立川,3,1,013382,2,NORMAL,,5-1-4,6190,23
20260809_立川_3R,20260809,28,立川,3,4,012809,3,NORMAL,,5-1-4,6190,23
20260809_立川_3R,20260809,28,立川,3,7,015332,4,NORMAL,,5-1-4,6190,23
20260809_立川_3R,20260809,28,立川,3,3,013955,5,NORMAL,,5-1-4,6190,23
20260809_立川_3R,20260809,28,立川,3,6,015722,6,NORMAL,,5-1-4,6190,23
20260809_立川_3R,20260809,28,立川,3,2,015565,7,NORMAL,,5-1-4,6190,23
20260809_立川_4R,20260809,28,立川,4,4,015254,1,NORMAL,,4-1-7,500,1
20260809_立川_4R,20260809,28,立川,4,1,015893,2,NORMAL,,4-1-7,500,1
20260809_立川_4R,20260809,28,立川,4,7,013924,3,NORMAL,,4-1-7,500,1
20260809_立川_4R,20260809,28,立川,4,3,015847,4,NORMAL,,4-1-7,500,1
20260809_立川_4R,20260809,28,立川,4,2,011619,5,NORMAL,,4-1-7,500,1
20260809_立川_4R,20260809,28,立川,4,6,013668,6,NORMAL,,4-1-7,500,1
20260809_立川_4R,20260809,28,立川,4,5,015632,7,NORMAL,,4-1-7,500,1
20260809_立川_5R,20260809,28,立川,5,1,015116,1,NORMAL,,1-5-3,2100,8
20260809_立川_5R,20260809,28,立川,5,5,014178,2,NORMAL,,1-5-3,2100,8
20260809_立川_5R,20260809,28,立川,5,3,015919,3,NORMAL,,1-5-3,2100,8
20260809_立川_5R,20260809,28,立川,5,7,014044,4,NORMAL,,1-5-3,2100,8
20260809_立川_5R,20260809,28,立川,5,4,014528,5,NORMAL,,1-5-3,2100,8
20260809_立川_5R,20260809,28,立川,5,2,013555,6,NORMAL,,1-5-3,2100,8
20260809_立川_5R,20260809,28,立川,5,6,014226,7,NORMAL,,1-5-3,2100,8
20260809_立川_6R,20260809,28,立川,6,4,015361,1,NORMAL,,4-3-1,1170,2
20260809_立川_6R,20260809,28,立川,6,3,015178,2,NORMAL,,4-3-1,1170,2
20260809_立川_6R,20260809,28,立川,6,1,015174,3,NORMAL,,4-3-1,1170,2
