レースキー,開催日,競輪場,レース番号,車番,登録番号,着順,結果ステータス,結果理由,3連単組番,3連単払戻,人気,払戻分類,is_20000_plus,is_50000_plus
20260717_松阪_6R,20260717,松阪,6,2,012786,6,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
20260717_松阪_6R,20260717,松阪,6,6,015595,7,NORMAL,,7-4-3,2410,(6),UNDER_10000,0,0
20260717_松阪_7R,20260717,松阪,7,2,015641,1,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_7R,20260717,松阪,7,1,015448,2,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_7R,20260717,松阪,7,7,015040,3,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_7R,20260717,松阪,7,3,014292,4,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_7R,20260717,松阪,7,5,015161,5,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_7R,20260717,松阪,7,4,013438,6,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_7R,20260717,松阪,7,6,015178,7,NORMAL,,2-1-7,15530,(64),10000_TO_19999,0,0
20260717_松阪_8R,20260717,松阪,8,2,015703,1,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_8R,20260717,松阪,8,5,015250,2,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_8R,20260717,松阪,8,7,014148,3,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_8R,20260717,松阪,8,6,014947,4,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_8R,20260717,松阪,8,1,013436,5,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_8R,20260717,松阪,8,4,015127,6,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_8R,20260717,松阪,8,3,015097,7,NORMAL,,2-5-7,3630,(9),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,3,015702,1,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,4,013407,2,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,7,015716,3,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,1,014134,4,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,6,013306,5,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,5,014176,6,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_9R,20260717,松阪,9,2,014313,7,NORMAL,,3-4-7,2360,(6),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,7,014854,1,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,1,012939,2,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,2,014833,3,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,4,015168,4,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,5,015322,5,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,6,014233,6,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_10R,20260717,松阪,10,3,015476,7,NORMAL,,7-1-2,5630,(21),UNDER_10000,0,0
20260717_松阪_11R,20260717,松阪,11,5,015380,1,NORMAL,,5-1-3,7510,(27),UNDER_10000,0,0
