feature,importance
L1_P5_trio_rate_diff_top,8
L7_P1_escape_count,8
L4_P3_quinella_rate_diff_top,8
L1_P2_escape_count,8
L1_P1_line_trio_rate_rank,8
L7_P1_trio_rate_rank,8
L3_P3_line_quinella_rate_rank,8
L3_P2_style_両,8
L2_P2_style_両,7
L4_P3_score_rank,7
L5_P3_age,7
L2_P3_line_trio_rate_rank,7
L3_P4_score_diff_top,7
L1_P5_line_trio_rate_diff_top,7
L5_P2_age,7
L3_P1_style_逃,7
L1_P3_line_trio_rate_rank,7
L1_P3_line_score_rank,7
L3_P4_quinella_rate,7
L2_P1_style_逃,7
L2_P4_score_rank,6
L2_P3_back_count,6
L1_P5_sashi_count,6
L5_P1_previous_class,6
L1_P4_line_trio_rate_rank,6
L4_P2_line_trio_rate_rank,6
L5_P2_win_rate_diff_top,6
L1_P2_style_逃,6
L3_P4_line_win_rate_diff_top,6
L4_P1_line_score_rank,6
L5_P2_quinella_rate,6
L2_P4_line_trio_rate_rank,6
L4_P3_sashi_count,6
L4_P3_win_rate,6
L4_P1_class,6
L1_P4_sashi_count,6
L1_P5_mark_count,6
L3_P4_win_rate_rank,6
L1_P3_escape_count,6
L1_P5_line_score_diff_top,5
L5_P3_win_rate_diff_top,5
L2_P4_quinella_rate,5
L5_P1_line_quinella_rate_diff_top,5
L7_P1_mark_count,5
L3_P3_style_両,5
L7_P1_style_追,5
L6_P1_style_両,5
L4_P2_line_win_rate_rank,5
L3_P3_line_trio_rate_rank,5
L4_P2_class,5
L4_P1_style_逃,5
L1_P4_home_count,5
L6_P1_escape_count,5
L2_P4_mark_count,5
L2_P2_style_逃,5
L5_P3_line_quinella_rate_rank,5
L1_P5_win_rate_rank,5
L5_P1_line_trio_rate_diff_top,5
L4_P3_line_trio_rate_diff_top,5
L5_P2_trio_rate_diff_top,5
L4_P4_average_score,5
L1_P1_line_win_rate_rank,5
L1_P5_win_rate,5
L1_P5_line_quinella_rate_diff_top,4
L3_P4_term,4
L5_P2_line_quinella_rate_diff_top,4
L1_P4_quinella_rate_rank,4
L4_P3_escape_count,4
L2_P3_style_両,4
L4_P2_escape_count,4
L2_P1_style_追,4
L2_P3_escape_count,4
L2_P1_line_win_rate_rank,4
L4_P1_line_quinella_rate_rank,4
L3_P3_style_追,4
L2_P4_quinella_rate_rank,4
L2_P4_home_count,4
L2_P2_line_quinella_rate_rank,4
L6_P1_score_rank,4
L1_P3_style_追,4
L5_P2_sashi_count,4
L3_P4_trio_rate_diff_top,4
L5_P3_trio_rate_rank,4
L3_P4_win_rate_diff_top,4
L2_P5_line_trio_rate_diff_top,4
L2_P4_win_rate,4
L1_P4_line_score_rank,3
L2_P1_is_seri,3
L3_P4_quinella_rate_rank,3
L3_P4_previous_class,3
L1_P5_trio_rate,3
L1_P5_score_diff_top,3
L3_P4_sashi_count,3
L1_P5_start_count,3
L4_P4_score_rank,3
L1_P2_is_seri,3
L5_P3_start_count,3
L5_P2_mark_count,3
L4_P3_line_trio_rate_rank,3
L4_P3_line_win_rate_rank,3
L5_P2_score_rank,3
