race_key,date,jo_code,jo_name,race_no,car_no,line_no,line_position,is_seri
20260915_大宮_8R,20260915,25,大宮,8,3,2,4,0
20260915_大宮_8R,20260915,25,大宮,8,4,2,3,0
20260915_大宮_8R,20260915,25,大宮,8,5,1,2,0
20260915_大宮_8R,20260915,25,大宮,8,6,1,3,0
20260915_大宮_8R,20260915,25,大宮,8,7,2,2,0
20260915_大宮_8R,20260915,25,大宮,8,8,,,0
20260915_大宮_8R,20260915,25,大宮,8,9,,,0
20260915_大宮_9R,20260915,25,大宮,9,1,1,2,0
20260915_大宮_9R,20260915,25,大宮,9,2,2,2,0
20260915_大宮_9R,20260915,25,大宮,9,3,1,1,0
20260915_大宮_9R,20260915,25,大宮,9,4,3,1,0
20260915_大宮_9R,20260915,25,大宮,9,5,2,1,0
20260915_大宮_9R,20260915,25,大宮,9,6,3,2,0
20260915_大宮_9R,20260915,25,大宮,9,7,1,3,0
20260915_大宮_9R,20260915,25,大宮,9,8,,,0
20260915_大宮_9R,20260915,25,大宮,9,9,,,0
20260915_岐阜_10R,20260915,43,岐阜,10,1,1,1,0
20260915_岐阜_10R,20260915,43,岐阜,10,2,3,2,0
20260915_岐阜_10R,20260915,43,岐阜,10,3,2,1,0
20260915_岐阜_10R,20260915,43,岐阜,10,4,3,3,0
20260915_岐阜_10R,20260915,43,岐阜,10,5,1,2,0
20260915_岐阜_10R,20260915,43,岐阜,10,6,3,1,0
20260915_岐阜_10R,20260915,43,岐阜,10,7,4,1,0
20260915_岐阜_10R,20260915,43,岐阜,10,8,,,0
20260915_岐阜_10R,20260915,43,岐阜,10,9,,,0
20260915_岐阜_11R,20260915,43,岐阜,11,1,2,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,2,3,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,3,4,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,4,5,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,5,6,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,6,1,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,7,7,1,0
20260915_岐阜_11R,20260915,43,岐阜,11,8,,,0
20260915_岐阜_11R,20260915,43,岐阜,11,9,,,0
20260915_岐阜_12R,20260915,43,岐阜,12,1,1,1,0
20260915_岐阜_12R,20260915,43,岐阜,12,2,2,1,0
20260915_岐阜_12R,20260915,43,岐阜,12,3,3,1,0
20260915_岐阜_12R,20260915,43,岐阜,12,4,4,2,0
20260915_岐阜_12R,20260915,43,岐阜,12,5,1,2,0
20260915_岐阜_12R,20260915,43,岐阜,12,6,3,2,0
20260915_岐阜_12R,20260915,43,岐阜,12,7,4,1,0
20260915_岐阜_12R,20260915,43,岐阜,12,8,,,0
20260915_岐阜_12R,20260915,43,岐阜,12,9,,,0
20260915_岐阜_1R,20260915,43,岐阜,1,1,1,1,0
20260915_岐阜_1R,20260915,43,岐阜,1,2,3,1,0
20260915_岐阜_1R,20260915,43,岐阜,1,3,4,1,0
20260915_岐阜_1R,20260915,43,岐阜,1,4,4,2,0
20260915_岐阜_1R,20260915,43,岐阜,1,5,3,2,0
20260915_岐阜_1R,20260915,43,岐阜,1,6,2,1,0
20260915_岐阜_1R,20260915,43,岐阜,1,7,1,2,0
20260915_岐阜_1R,20260915,43,岐阜,1,8,,,0
20260915_岐阜_1R,20260915,43,岐阜,1,9,,,0
20260915_岐阜_2R,20260915,43,岐阜,2,1,1,2,0
20260915_岐阜_2R,20260915,43,岐阜,2,2,2,1,0
20260915_岐阜_2R,20260915,43,岐阜,2,3,1,3,0
20260915_岐阜_2R,20260915,43,岐阜,2,4,1,1,0
20260915_岐阜_2R,20260915,43,岐阜,2,5,3,1,0
20260915_岐阜_2R,20260915,43,岐阜,2,6,2,2,0
20260915_岐阜_2R,20260915,43,岐阜,2,7,4,1,0
20260915_岐阜_2R,20260915,43,岐阜,2,8,,,0
20260915_岐阜_2R,20260915,43,岐阜,2,9,,,0
20260915_岐阜_3R,20260915,43,岐阜,3,1,1,2,0
20260915_岐阜_3R,20260915,43,岐阜,3,2,3,2,0
20260915_岐阜_3R,20260915,43,岐阜,3,3,3,3,0
20260915_岐阜_3R,20260915,43,岐阜,3,4,2,1,0
20260915_岐阜_3R,20260915,43,岐阜,3,5,1,1,0
20260915_岐阜_3R,20260915,43,岐阜,3,6,1,3,0
20260915_岐阜_3R,20260915,43,岐阜,3,7,3,1,0
20260915_岐阜_3R,20260915,43,岐阜,3,8,,,0
20260915_岐阜_3R,20260915,43,岐阜,3,9,,,0
20260915_岐阜_4R,20260915,43,岐阜,4,1,2,1,0
20260915_岐阜_4R,20260915,43,岐阜,4,2,1,2,0
20260915_岐阜_4R,20260915,43,岐阜,4,3,3,1,0
20260915_岐阜_4R,20260915,43,岐阜,4,4,1,3,0
20260915_岐阜_4R,20260915,43,岐阜,4,5,4,1,0
20260915_岐阜_4R,20260915,43,岐阜,4,6,1,4,0
20260915_岐阜_4R,20260915,43,岐阜,4,7,1,1,0
20260915_岐阜_4R,20260915,43,岐阜,4,8,,,0
20260915_岐阜_4R,20260915,43,岐阜,4,9,,,0
20260915_岐阜_5R,20260915,43,岐阜,5,1,2,1,0
20260915_岐阜_5R,20260915,43,岐阜,5,2,3,1,0
20260915_岐阜_5R,20260915,43,岐阜,5,3,4,1,0
20260915_岐阜_5R,20260915,43,岐阜,5,4,1,1,0
20260915_岐阜_5R,20260915,43,岐阜,5,5,5,1,0
20260915_岐阜_5R,20260915,43,岐阜,5,6,6,1,0
20260915_岐阜_5R,20260915,43,岐阜,5,7,,,0
20260915_岐阜_5R,20260915,43,岐阜,5,8,,,0
20260915_岐阜_5R,20260915,43,岐阜,5,9,,,0
20260915_岐阜_6R,20260915,43,岐阜,6,1,1,1,0
20260915_岐阜_6R,20260915,43,岐阜,6,2,2,1,0
20260915_岐阜_6R,20260915,43,岐阜,6,3,3,2,0
