transformed_feature,original_feature,importance
p1_previous_class_A3,p1_previous_class,0.0005068084861437125
p4_prefecture_京 都,p4_prefecture,0.0005047896188633132
p1_class_A3,p1_class,0.0005026784419654155
p2_previous_class_S1,p2_previous_class,0.0005019989884266549
p2_prefecture_福 岡,p2_prefecture,0.0005008610256428586
p1_prefecture_熊 本,p1_prefecture,0.0005006061612675528
p2_class_S2,p2_class,0.0004972806049339583
p3_previous_class_S1,p3_previous_class,0.0004940322012748117
p4_prefecture_茨 城,p4_prefecture,0.00048356272492245213
p1_previous_class_S1,p1_previous_class,0.0004825501293311433
p5_prefecture_岡 山,p5_prefecture,0.00047206731168589975
p2_class_S1,p2_class,0.00047092186388271597
p3_prefecture_埼 玉,p3_prefecture,0.00046880508772973416
p1_prefecture_埼 玉,p1_prefecture,0.0004682468559048306
p5_previous_class_S1,p5_previous_class,0.0004659935605939368
p6_class_A3,p6_class,0.00046270860928951607
p7_prefecture_静 岡,p7_prefecture,0.000460406309367224
p8_previous_class_S2,p8_previous_class,0.00045978812218343073
p4_prefecture_神奈川,p4_prefecture,0.0004591174152093045
p5_prefecture_茨 城,p5_prefecture,0.00045892103886398814
p5_prefecture_神奈川,p5_prefecture,0.00045125182385685823
p1_prefecture_岐 阜,p1_prefecture,0.0004502586768683847
p6_prefecture_岡 山,p6_prefecture,0.00044986625424748346
p6_prefecture_福 岡,p6_prefecture,0.0004477677437849025
p4_class_A3,p4_class,0.00044418538670718016
p5_prefecture_三 重,p5_prefecture,0.00044261080803050483
p2_prefecture_茨 城,p2_prefecture,0.0004405219759464933
p8_class_S2,p8_class,0.0004364355471847433
p6_prefecture_広 島,p6_prefecture,0.0004360752023589033
p5_prefecture_兵 庫,p5_prefecture,0.00042749563604854647
p5_class_A3,p5_class,0.0004221721765179945
p6_prefecture_愛 媛,p6_prefecture,0.00042050706361496256
p1_prefecture_神奈川,p1_prefecture,0.0004200035714302157
p7_class_A3,p7_class,0.00041654435229500163
p2_prefecture_千 葉,p2_prefecture,0.00041145898870412835
p5_prefecture_福 岡,p5_prefecture,0.00040720637449779905
p7_prefecture_大 阪,p7_prefecture,0.00040655754785066635
p4_prefecture_岐 阜,p4_prefecture,0.00040425237922307803
p3_prefecture_熊 本,p3_prefecture,0.00040284774849189305
p6_prefecture_石 川,p6_prefecture,0.0004014222355451463
p8_previous_class_S1,p8_previous_class,0.0004005147515318902
p1_prefecture_大 阪,p1_prefecture,0.00039947014825864714
p7_prefecture_熊 本,p7_prefecture,0.0003977859530126331
p1_prefecture_福 島,p1_prefecture,0.0003921845268375352
p7_prefecture_千 葉,p7_prefecture,0.00039094701293653547
p5_prefecture_長 崎,p5_prefecture,0.00038930370248635237
p6_prefecture_千 葉,p6_prefecture,0.00038853689617758953
p3_prefecture_岡 山,p3_prefecture,0.00038717321143804366
p2_prefecture_熊 本,p2_prefecture,0.0003867600212947025
p3_prefecture_広 島,p3_prefecture,0.00038358908863416906
p2_prefecture_岡 山,p2_prefecture,0.0003827899443974495
p8_mark_count,p8_mark_count,0.0003812541069539012
p4_prefecture_岡 山,p4_prefecture,0.00037903973186331964
p6_prefecture_栃 木,p6_prefecture,0.00036876489801662064
p3_prefecture_宮 城,p3_prefecture,0.0003657835983803429
p4_prefecture_千 葉,p4_prefecture,0.0003624315069493731
p4_prefecture_福 島,p4_prefecture,0.0003614140899710391
p4_prefecture_静 岡,p4_prefecture,0.00035679599579304164
p5_prefecture_愛 媛,p5_prefecture,0.00035608556194157684
p9_nige_count,p9_nige_count,0.00035556754051277467
p6_prefecture_宮 城,p6_prefecture,0.000354835185661188
p3_prefecture_和歌山,p3_prefecture,0.0003484621259356339
p4_class_L1,p4_class,0.0003475223706336585
p2_prefecture_栃 木,p2_prefecture,0.0003458477392093934
p9_previous_class_S1,p9_previous_class,0.0003409697734854003
p3_prefecture_群 馬,p3_prefecture,0.00034043287546487057
p8_nige_count,p8_nige_count,0.0003395892527531285
p2_prefecture_岐 阜,p2_prefecture,0.00033862893671145276
p3_prefecture_千 葉,p3_prefecture,0.00033773474231854796
p9_riding_style_追,p9_riding_style,0.00033710101530824623
p3_prefecture_福 島,p3_prefecture,0.0003365745481744215
p1_prefecture_三 重,p1_prefecture,0.00033633719641616136
p2_prefecture_愛 知,p2_prefecture,0.0003339977813468662
p7_prefecture_埼 玉,p7_prefecture,0.0003302385939308049
p9_riding_style_逃,p9_riding_style,0.00032978656511381776
p7_prefecture_宮 城,p7_prefecture,0.00032506631145541695
p7_prefecture_愛 知,p7_prefecture,0.0003240253465389782
p6_prefecture_福 島,p6_prefecture,0.0003222422060951114
p6_prefecture_新 潟,p6_prefecture,0.0003020616936268871
p3_prefecture_岐 阜,p3_prefecture,0.00030204425231387786
p1_prefecture_宮 城,p1_prefecture,0.00029590829949937945
p2_prefecture_徳 島,p2_prefecture,0.00029431790970731094
p5_prefecture_岐 阜,p5_prefecture,0.0002895853264489437
p4_prefecture_佐 賀,p4_prefecture,0.00028944789813327605
p2_prefecture_福 島,p2_prefecture,0.00028921342580317096
p3_prefecture_三 重,p3_prefecture,0.0002883325565769046
p1_prefecture_愛 知,p1_prefecture,0.00028756522210886845
p2_prefecture_東 京,p2_prefecture,0.0002867379809992596
p6_class_S1,p6_class,0.0002837226158456833
p5_prefecture_青 森,p5_prefecture,0.00028306614093446533
p8_riding_style_両,p8_riding_style,0.000279933309439655
p4_prefecture_大 阪,p4_prefecture,0.00027781225725049906
p6_prefecture_和歌山,p6_prefecture,0.0002763991459215411
p5_prefecture_熊 本,p5_prefecture,0.000276056962044201
p7_prefecture_茨 城,p7_prefecture,0.00027581332109601487
p3_prefecture_栃 木,p3_prefecture,0.0002750080449866322
p7_prefecture_北海道,p7_prefecture,0.0002717112325141375
p2_prefecture_大 阪,p2_prefecture,0.00027102647089813164
p8_class_S1,p8_class,0.000270992689761953
p2_prefecture_静 岡,p2_prefecture,0.00026915545661512704
p2_prefecture_青 森,p2_prefecture,0.0002681809256480045
p6_previous_class___MISSING__,p6_previous_class,0.00026590898869605485
p1_prefecture_茨 城,p1_prefecture,0.0002654766464574665
p7_prefecture_青 森,p7_prefecture,0.0002634397187260272
p3_prefecture_大 阪,p3_prefecture,0.0002586947754571307
p4_prefecture_熊 本,p4_prefecture,0.000258526725326079
p2_prefecture_石 川,p2_prefecture,0.0002558507530405996
p7_prefecture_兵 庫,p7_prefecture,0.00025573940372563035
p5_prefecture_和歌山,p5_prefecture,0.0002545371256832596
p6_prefecture_熊 本,p6_prefecture,0.0002523132028173442
p6_prefecture_岩 手,p6_prefecture,0.0002518478582651368
p3_prefecture_兵 庫,p3_prefecture,0.00024744367307851363
p1_prefecture_富 山,p1_prefecture,0.0002469665187673381
p6_prefecture_岐 阜,p6_prefecture,0.0002464761657110808
p6_prefecture_東 京,p6_prefecture,0.0002462084502599214
p3_prefecture_神奈川,p3_prefecture,0.00024340172834598026
p4_prefecture_新 潟,p4_prefecture,0.0002429092532400479
p5_prefecture_東 京,p5_prefecture,0.00024083673988971492
p8_previous_class_A1,p8_previous_class,0.00023788978640217675
p5_prefecture_宮 城,p5_prefecture,0.0002357344783443183
p4_prefecture_宮 城,p4_prefecture,0.00023550329901867516
p7_prefecture_愛 媛,p7_prefecture,0.00023478251308192794
p5_prefecture_福 島,p5_prefecture,0.00023279983300711896
p6_prefecture_神奈川,p6_prefecture,0.00023180386321409633
p3_prefecture_東 京,p3_prefecture,0.00023070324603638193
p4_prefecture_兵 庫,p4_prefecture,0.00022816611809197085
p4_prefecture_埼 玉,p4_prefecture,0.00022804014725611707
p1_prefecture_栃 木,p1_prefecture,0.00022750434675982347
p6_prefecture_埼 玉,p6_prefecture,0.00022486679382693883
p4_prefecture_青 森,p4_prefecture,0.000224494739301339
p2_prefecture_宮 城,p2_prefecture,0.00022240952562053006
p9_riding_style_両,p9_riding_style,0.0002204070559419596
p4_prefecture_大 分,p4_prefecture,0.0002198504678635249
p5_prefecture_福 井,p5_prefecture,0.00021969144212441813
p5_class_L1,p5_class,0.00021900453503517322
p2_class_L1,p2_class,0.000215244592422459
p6_prefecture_青 森,p6_prefecture,0.0002136768434239538
p7_prefecture_福 島,p7_prefecture,0.00021331374475732953
p7_prefecture_岐 阜,p7_prefecture,0.0002131666975575824
p4_prefecture_栃 木,p4_prefecture,0.00021218780024469345
p7_prefecture_群 馬,p7_prefecture,0.00020326439677463868
p4_prefecture_徳 島,p4_prefecture,0.00019653084980304991
p3_class_L1,p3_class,0.000194520842096031
p1_prefecture_青 森,p1_prefecture,0.00019300828101333998
p7_prefecture_東 京,p7_prefecture,0.00019262004043801961
p8_riding_style_追,p8_riding_style,0.0001914986267101562
p3_previous_class_L1,p3_previous_class,0.0001861369660079381
p9_previous_class_S2,p9_previous_class,0.0001825625479865189
p1_prefecture_群 馬,p1_prefecture,0.00018216193438037745
p3_prefecture_茨 城,p3_prefecture,0.00018185159839617754
p6_previous_class_S1,p6_previous_class,0.00017871652286381874
p5_prefecture_京 都,p5_prefecture,0.0001768200861597703
p5_prefecture_佐 賀,p5_prefecture,0.0001765363102722289
