transformed_feature,original_feature,coefficient,absolute_coefficient,direction
p6_class_L1,p6_class,-0.0681410361483748,0.0681410361483748,LOW_RISK
p6_prefecture_オラン,p6_prefecture,-0.06767460421201156,0.06767460421201156,LOW_RISK
p8_prefecture_秋 田,p8_prefecture,-0.06752217627298471,0.06752217627298471,LOW_RISK
p8_age,p8_age,0.06733973747393482,0.06733973747393482,HIGH_RISK
p6_back_count,p6_back_count,-0.06723347000152616,0.06723347000152616,LOW_RISK
p9_prefecture_兵 庫,p9_prefecture,-0.0665930266421299,0.0665930266421299,LOW_RISK
p4_previous_class_A2,p4_previous_class,0.06596008815304824,0.06596008815304824,HIGH_RISK
p7_prefecture_兵 庫,p7_prefecture,0.06555999157668675,0.06555999157668675,HIGH_RISK
p9_win_rate,p9_win_rate,-0.06461304783156782,0.06461304783156782,LOW_RISK
p9_prefecture_奈 良,p9_prefecture,0.06418212615545776,0.06418212615545776,HIGH_RISK
p3_recent_finish_1,p3_recent_finish_1,0.06374154036255317,0.06374154036255317,HIGH_RISK
p7_prefecture_滋 賀,p7_prefecture,0.06315637426294879,0.06315637426294879,HIGH_RISK
p3_age,p3_age,-0.06305861229927978,0.06305861229927978,LOW_RISK
p7_mark_count,p7_mark_count,-0.06145768654774448,0.06145768654774448,LOW_RISK
p1_prefecture_山 梨,p1_prefecture,-0.06118957974245245,0.06118957974245245,LOW_RISK
p2_previous_class_L1,p2_previous_class,-0.06032597208271365,0.06032597208271365,LOW_RISK
p4_prefecture_オラン,p4_prefecture,-0.06028946989400578,0.06028946989400578,LOW_RISK
p1_prefecture_神奈川,p1_prefecture,0.06001233078691909,0.06001233078691909,HIGH_RISK
p4_prefecture_福 井,p4_prefecture,-0.0593525597441866,0.0593525597441866,LOW_RISK
p6_previous_class___MISSING__,p6_previous_class,-0.05830762879500671,0.05830762879500671,LOW_RISK
p2_makuri_count,p2_makuri_count,0.05820476712548245,0.05820476712548245,HIGH_RISK
p9_graduation_term,p9_graduation_term,0.05792078344647399,0.05792078344647399,HIGH_RISK
p5_class_S2,p5_class,0.05733058746163614,0.05733058746163614,HIGH_RISK
p1_recent_finish_3,p1_recent_finish_3,-0.0572823575770634,0.0572823575770634,LOW_RISK
p4_age,p4_age,-0.05702376133899254,0.05702376133899254,LOW_RISK
p3_prefecture_オラン,p3_prefecture,-0.05599562983449342,0.05599562983449342,LOW_RISK
p5_recent_finish_3,p5_recent_finish_3,-0.05599168658035224,0.05599168658035224,LOW_RISK
p4_riding_style_逃,p4_riding_style,-0.05594020591470365,0.05594020591470365,LOW_RISK
p8_win_rate,p8_win_rate,-0.05527065070185769,0.05527065070185769,LOW_RISK
p1_race_score,p1_race_score,0.05406478719243839,0.05406478719243839,HIGH_RISK
p2_prefecture_徳 島,p2_prefecture,0.054003766769112616,0.054003766769112616,HIGH_RISK
p1_makuri_count,p1_makuri_count,0.053946200062134464,0.053946200062134464,HIGH_RISK
p5_age,p5_age,0.05387758133581175,0.05387758133581175,HIGH_RISK
p7_previous_class_A2,p7_previous_class,0.053663937144437554,0.053663937144437554,HIGH_RISK
p8_graduation_term,p8_graduation_term,0.05321695433952651,0.05321695433952651,HIGH_RISK
p1_prefecture_愛 知,p1_prefecture,0.05303718910672816,0.05303718910672816,HIGH_RISK
p6_riding_style_追,p6_riding_style,0.05258895381580241,0.05258895381580241,HIGH_RISK
p4_prefecture_山 口,p4_prefecture,0.05246203067014584,0.05246203067014584,HIGH_RISK
p6_previous_class_S2,p6_previous_class,0.05197761646846992,0.05197761646846992,HIGH_RISK
p2_sashi_count,p2_sashi_count,0.05165266558932719,0.05165266558932719,HIGH_RISK
p9_prefecture_福 島,p9_prefecture,-0.05131887064067695,0.05131887064067695,LOW_RISK
p1_previous_class___MISSING__,p1_previous_class,0.050908989282256206,0.050908989282256206,HIGH_RISK
p4_class_A1,p4_class,-0.050623122287514755,0.050623122287514755,LOW_RISK
p3_prefecture_岡 山,p3_prefecture,-0.05062188599046698,0.05062188599046698,LOW_RISK
p9_top3_rate,p9_top3_rate,-0.050454492584730656,0.050454492584730656,LOW_RISK
p3_home_count,p3_home_count,0.050006429443824864,0.050006429443824864,HIGH_RISK
p4_nige_count,p4_nige_count,-0.04990481145824107,0.04990481145824107,LOW_RISK
p7_age,p7_age,0.04939652050123928,0.04939652050123928,HIGH_RISK
p7_prefecture_福 岡,p7_prefecture,-0.049017718867430865,0.049017718867430865,LOW_RISK
