original_feature,logistic_abs_coefficient_sum,logistic_signed_coefficient_sum,logistic_expanded_feature_count,random_forest_importance_sum,random_forest_expanded_feature_count,logistic_normalized,random_forest_normalized,combined_score,combined_rank
p4_back_count,0.08199305414359372,0.08199305414359372,1,0.0049624009516517995,1,0.003232967130564703,0.3492139917216159,0.1762234794260903,103
p2_back_count,0.01630580767538789,-0.01630580767538789,1,0.004974847578828973,1,0.0006429342192756643,0.3500898855484871,0.17536640988388136,104
p6_recent_finish_3,0.04122391993562226,-0.04122391993562226,1,0.004856450923751122,1,0.0016254496132256935,0.3417580782380638,0.17169176392564475,105
p3_riding_style,0.4299344261612363,0.025650001625658177,3,0.0046377940429027705,3,0.01695221482594419,0.3263707600986391,0.17166148746229162,106
p4_class,0.9710454810950584,0.025650001626909034,6,0.004330931562212068,6,0.038288098369476296,0.3047762390521429,0.1715321687108096,107
p7_sashi_count,0.10894697543440418,-0.10894697543440418,1,0.004773117432761698,1,0.004295754002979637,0.33589373528874467,0.17009474464586216,108
p2_home_count,0.02500300170023276,0.02500300170023276,1,0.004664449732701105,1,0.0009858625649038786,0.3282465738281748,0.16461621819653935,109
p2_class,1.5670448516097415,0.025650001624597643,7,0.003798777382303507,7,0.06178821548106425,0.26732749454564475,0.16455785501335451,110
p5_makuri_count,0.015517943329349013,-0.015517943329349013,1,0.004665931110951438,1,0.0006118689106261443,0.32835082135212307,0.1644813451313746,111
p4_home_count,0.033231732646214526,-0.033231732646214526,1,0.0046456455014487206,1,0.0013103195198555708,0.326923282800126,0.16411680115999078,112
p1_class,1.2244837112491036,0.025650001627816957,7,0.003972551488260995,7,0.048281109073548704,0.2795563228468061,0.1639187159601774,113
p3_mark_count,0.009999006817407353,0.009999006817407353,1,0.004640019355859768,1,0.00039425852246407735,0.32652735978256514,0.1634608091525146,114
p6_back_count,0.06723347000152616,-0.06723347000152616,1,0.004596851228619923,1,0.0026510001470133686,0.3234895330983761,0.16307026662269472,115
p4_mark_count,0.033390526431687426,-0.033390526431687426,1,0.004548936952719832,1,0.001316580722030974,0.32011771052487925,0.1607171456234551,116
p7_back_count,0.01117198790594774,-0.01117198790594774,1,0.004559339827456522,1,0.0004405088950551972,0.3208497814412711,0.16064514516816314,117
p5_nige_count,0.2854802506275476,-0.2854802506275476,1,0.004404845351645421,1,0.011256420148563848,0.30997769893069227,0.16061705953962807,118
p7_home_count,0.04812082999515242,0.04812082999515242,1,0.00449299020264129,1,0.0018973931791510788,0.3161806268210169,0.15903901000008397,119
p5_sashi_count,0.038911149327424066,-0.038911149327424066,1,0.004493289343760587,1,0.0015342576039154134,0.3162016779745564,0.1588679677892359,120
p4_makuri_count,0.024922516838754842,-0.024922516838754842,1,0.004481948126344198,1,0.0009826890654607372,0.3154035740237578,0.15819313154460926,121
p8_riding_style,3.1169404199234734,0.025650001630472555,4,0.0026550391499210483,4,0.12290023869452929,0.1868403679498071,0.1548703033221682,122
p5_mark_count,0.02274469893949267,-0.02274469893949267,1,0.004384753546193218,1,0.0008968182102009787,0.30856379875389933,0.15473030848205016,123
p3_class,0.7357591481727311,0.025650001626445266,7,0.003953380840497255,7,0.029010812768224908,0.27820724636252153,0.15360902956537323,124
p2_mark_count,0.1347695180182688,0.1347695180182688,1,0.00425433937371593,1,0.005313930875072216,0.2993862949222701,0.15235011289867115,125
p1_mark_count,0.012256693101306426,0.012256693101306426,1,0.0042959294944896614,1,0.0004832785696279475,0.3023130741634244,0.15139817636652617,126
p5_riding_style,0.3128357321109514,0.02565000162657416,3,0.00411539482923656,3,0.012335040446348252,0.289608491903465,0.15097176617490662,127
p2_makuri_count,0.05820476712548245,0.05820476712548245,1,0.004182762420897432,1,0.0022950004841789415,0.2943492828685187,0.14832214167634883,128
p3_makuri_count,0.002654978587068043,0.002654978587068043,1,0.004208553296731657,1,0.0001046851906420264,0.29616423792511654,0.1481344615578793,129
